topk_max_mag_indices,max_mag_pos,max_mag_neg,max_mag_stats,topk_mean_mag_indices,mean_mag_pos,mean_mag_neg,mean_mag_stats,topk_max_bin_indices,max_bin_pos,max_bin_neg,max_bin_stats,topk_mean_bin_indices,mean_bin_pos,mean_bin_neg,mean_bin_stats
11052,4.1104174,4.405508,-0.29509068,18737,4.8158197,4.6657195,0.15010023,15993,0.121951215,0.21985815,-0.09790694,3024,0.03637266,0.049150597,-0.012777936
20049,2.7944877,3.0612829,-0.26679516,6640,0.9333676,1.0018443,-0.06847668,8193,0.103658535,0.19858156,-0.09492303,12762,0.95994043,0.96748036,-0.007539928
12756,1.3696183,1.589171,-0.21955276,728,0.68298674,0.7384941,-0.055507362,12756,0.47560975,0.56028366,-0.08467391,3605,0.9829834,0.976112,0.0068714023
12569,3.1931129,3.3925316,-0.19941878,6098,0.6069125,0.660001,-0.053088486,11052,0.75609756,0.83687943,-0.08078188,5314,0.29247022,0.29924682,-0.006776601
728,2.3381739,2.5131311,-0.17495728,12364,0.6091373,0.65395916,-0.04482186,2102,0.3719512,0.44680852,-0.074857324,9543,0.963131,0.9564296,0.00670141
13961,0.17153265,0.0,0.17153265,13744,0.55549663,0.5967566,-0.041259944,17222,0.06707317,0.13238771,-0.065314546,9126,0.9553318,0.94865024,0.0066815615
8445,4.491899,4.3329678,0.15893126,10724,0.39855605,0.43712088,-0.03856483,10744,0.05487805,0.10874704,-0.053868994,14862,0.96944124,0.96277976,0.0066614747
12364,1.6528063,1.8054811,-0.1526748,1515,0.7054653,0.74035645,-0.03489113,1260,0.1402439,0.19385342,-0.05360952,17680,0.9782331,0.9716038,0.006629288
10706,0.15102114,0.0,0.15102114,11094,0.578967,0.60892886,-0.029961884,32,0.0,0.047281325,-0.047281325,309,0.9897901,0.9832318,0.006558299
14094,0.007355973,0.15549117,-0.1481352,8966,0.50333726,0.5331164,-0.029779136,9681,0.0121951215,0.059101656,-0.046906535,4609,0.92853075,0.93504304,-0.0065122843
